FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- Start.
FFFFEED 2016/05/26 18:10:55 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:10:55 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:11:42 -I- 38 (hits) 29 (records)
FFFFEED 2016/05/26 18:11:42 -I- 39 (hits) 30 (records)
FFFFEED 2016/05/26 18:11:42 -I- 40 (hits) 31 (records)
FFFFEED 2016/05/26 18:11:42 -I- 41 (hits) 31 (records)
FFFFEED 2016/05/26 18:11:42 -I- 42 (hits) 31 (records)
FFFFEED 2016/05/26 18:11:42 -I- 43 (hits) 31 (records)
FFFFEED 2016/05/26 18:11:42 -I- 44 (hits) 31 (records)
FFFFEED 2016/05/26 18:11:42 -I- 45 (hits) 32 (records)
FFFFEED 2016/05/26 18:11:42 -I- 46 (hits) 33 (records)
FFFFEED 2016/05/26 18:11:42 -I- 47 (hits) 34 (records)
FFFFEED 2016/05/26 18:11:42 -I- 48 (hits) 34 (records)
FFFFEED 2016/05/26 18:11:42 -I- 49 (hits) 34 (records)
FFFFEED 2016/05/26 18:11:42 -I- 50 (hits) 34 (records)
FFFFEED 2016/05/26 18:11:42 -I- 51 (hits) 34 (records)
FFFFEED 2016/05/26 18:11:42 -I- 52 (hits) 35 (records)
FFFFEED 2016/05/26 18:11:42 -I- 53 (hits) 36 (records)
FFFFEED 2016/05/26 18:11:42 -I- 54 (hits) 37 (records)
FFFFEED 2016/05/26 18:11:42 -I- 55 (hits) 38 (records)
FFFFEED 2016/05/26 18:11:42 -I- 56 (hits) 39 (records)
FFFFEED 2016/05/26 18:11:42 -I- 57 (hits) 40 (records)
FFFFEED 2016/05/26 18:11:42 -I- 58 (hits) 41 (records)
FFFFEED 2016/05/26 18:11:42 -I- 59 (hits) 42 (records)
FFFFEED 2016/05/26 18:11:42 -I- 60 (hits) 43 (records)
FFFFEED 2016/05/26 18:11:42 -I- 61 (hits) 44 (records)
FFFFEED 2016/05/26 18:11:42 -I- 62 (hits) 45 (records)
FFFFEED 2016/05/26 18:11:42 -I- 63 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 64 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 65 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 66 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 67 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 68 (hits) 46 (records)
FFFFEED 2016/05/26 18:11:42 -I- 69 (hits) 47 (records)
FFFFEED 2016/05/26 18:11:42 -I- 70 (hits) 48 (records)
FFFFEED 2016/05/26 18:11:42 -I- 71 (hits) 49 (records)
FFFFEED 2016/05/26 18:11:42 -I- 72 (hits) 50 (records)
FFFFEED 2016/05/26 18:11:42 -I- 73 (hits) 51 (records)
FFFFEED 2016/05/26 18:11:42 -I- 74 (hits) 52 (records)
FFFFEED 2016/05/26 18:11:42 -I- 75 (hits) 53 (records)
FFFFEED 2016/05/26 18:11:42 -I- 76 (hits) 54 (records)
FFFFEED 2016/05/26 18:11:42 -I- 77 (hits) 55 (records)
FFFFEED 2016/05/26 18:11:42 -I- 78 (hits) 56 (records)
FFFFEED 2016/05/26 18:11:42 -I- 79 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 80 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 81 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 82 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 83 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 84 (hits) 57 (records)
FFFFEED 2016/05/26 18:11:42 -I- 85 (hits) 58 (records)
FFFFEED 2016/05/26 18:11:42 -I- 86 (hits) 58 (records)
FFFFEED 2016/05/26 18:11:42 -I- 87 (hits) 59 (records)
FFFFEED 2016/05/26 18:11:42 -I- 88 (hits) 60 (records)
FFFFEED 2016/05/26 18:11:42 -I- 89 (hits) 60 (records)
FFFFEED 2016/05/26 18:11:42 -I- 90 (hits) 60 (records)
FFFFEED 2016/05/26 18:11:42 -I- 91 (hits) 61 (records)
FFFFEED 2016/05/26 18:11:42 -I- 92 (hits) 62 (records)
